class name,Chinese time,Au time,Class,School,Topic,Fixed class,Fixed Teacher,Fixed Studio,Teacher,Studio,Uniform,Special Class,Note,sso check,search class,澳洲反馈信息
广东东莞GDDG-RSSSL004,19:00-19:30,21：00-21：30,SSL004,广东东莞GDDG-RS,S1_17_What Do Plants Need,,,,MARCUS,dorcas 38,Rise Blue,,,,广东东莞GDDG-RSSSL004,
无锡外国语国际部WXWGYBE L3 02 ,19:00-19:30,21：00-21：30,BE L3 02 ,无锡外国语国际部WXWGY,Online_CLIL1_U5_Homes_L6_For WXFLS V1.0,,,,SPENCER,dorcas 12,Aienglish Green,,,,无锡外国语国际部WXWGYBE L3 02 ,
无锡外国语国际部WXWGYBE L4 ,19:00-19:30,21：00-21：30,BE L4 ,无锡外国语国际部WXWGY,Online_CLIL3_U5_Summer! Winter! Both!_L6_For WXFLS V1.0,,,,LEIGH-ANN,dorcas 34,Aienglish Green,,,,无锡外国语国际部WXWGYBE L4 ,
瑞思总部RS在读复习课,19:00-19:30,21：00-21：30,在读复习课,瑞思总部RS,S4_A_019_Project3 Role Models in Society_5. ,,,,Sarah,dorcas 4,Rise Blue,LIVE,,,瑞思总部RS在读复习课,
浙花外小ZHWX双语一3 ,7:55-8:25,09:55-10:25,双语一3 ,浙花外小ZHWX,"ZHFLS_G1_Review_L1_O,U",,,,MARK,dorcas 8,Aienglish Green,,ZHWX-214,,浙花外小ZHWX双语一3 ,小鱼掉线多次
浙花外小ZHWX双语一5,9:45-10:15,11:45-12:15,双语一5,浙花外小ZHWX,"ZHFLS_G1_Review_L1_O,U",,,,MARK,dorcas 8,Aienglish Green,,ZHWX-214,,浙花外小ZHWX双语一5,
浙花外小ZHWX国际二1,13:20—13:50,15:20-15:50,国际二1,浙花外小ZHWX,ZHFLS_G2_U6_L3_Story&Review,,,,MARK,dorcas 8,Aienglish Green,,ZHWX-214,,浙花外小ZHWX国际二1,
浙花外小ZHWX双语二1,15:00—15:30,17:00-17:30,双语二1,浙花外小ZHWX,ZHFLS_G2_U6_L2_nk,,,,Gabriella S,dorcas 3,Aienglish Green,,ZHWX-214,,浙花外小ZHWX双语二1,
浙花外小ZHWX双语二3,16:00—16:30,18:00-18:30,双语二3,浙花外小ZHWX,ZHFLS_G2_U6_L1_ng,,,,Gabriella S,dorcas 3,Aienglish Green,,ZHWX-214,,浙花外小ZHWX双语二3,
浙花外小ZHWX双语一4,7:55-8:25,09:55-10:25,双语一4,浙花外小ZHWX,"ZHFLS_G1_Review_L1_O,U",,,,Gabriella S,dorcas 3,Aienglish Green,,ZHWX-302,,浙花外小ZHWX双语一4,
浙花外小ZHWX双语一6,9:45-10:15,11:45-12:15,双语一6,浙花外小ZHWX,"ZHFLS_G1_Review_L1_O,U",,,,Gabriella S,dorcas 3,Aienglish Green,,ZHWX-302,,浙花外小ZHWX双语一6,
浙花外小ZHWX国际二2,13:20—13:50,15:20-15:50,国际二2,浙花外小ZHWX,ZHFLS_G2_U6_L3_Story&Review,,,,Gabriella S,dorcas 3,Aienglish Green,,ZHWX-302,,浙花外小ZHWX国际二2,
浙花外小ZHWX双语二2,15:00—15:30,17:00-17:30,双语二2,浙花外小ZHWX,ZHFLS_G2_U6_L2_nk,,,,Kristina M,dorcas 9,Aienglish Green,,ZHWX-302,,浙花外小ZHWX双语二2,
浙花外小ZHWX双语二4,16:00—16:30,18:00-18:30,双语二4,浙花外小ZHWX,ZHFLS_G2_U6_L1_ng,,,,Kristina M,dorcas 9,Aienglish Green,,ZHWX-302,,浙花外小ZHWX双语二4,
吉林长春卫星CCWX-RSK2093-1,16:45-17:15,18：45-19：15,K2093-1,吉林长春卫星CCWX-RS,K2_04_Phonics Review（s/t/m/a),,,,INNA,dorcas 18,Rise Blue,,CC017,,吉林长春卫星CCWX-RSK2093-1,
吉林长春卫星CCWX-RSS1042-1,16:45-17:15,18：45-19：15,S1042-1,吉林长春卫星CCWX-RS,S1_01_Land Forms,,,,HARRISON,dorcas 19,Rise Blue,,CC020,,吉林长春卫星CCWX-RSS1042-1,
吉林长春卫星CCWX-RSS1039-1,17:30-18:00,19：30-20：00,S1039-1,吉林长春卫星CCWX-RS,S1_01_Land Forms,,,,INNA,dorcas 18,Rise Blue,,CC019,,吉林长春卫星CCWX-RSS1039-1,
吉林长春卫星CCWX-RSS1040-1,17:30-18:00,19：30-20：00,S1040-1,吉林长春卫星CCWX-RS,S1_01_Land Forms,,,,HARRISON,dorcas 19,Rise Blue,,CC017,,吉林长春卫星CCWX-RSS1040-1,
吉林长春卫星CCWX-RSK2093-2,19:00-19:30,21：00-21：30,K2093-2,吉林长春卫星CCWX-RS,K2_04_Phonics Review（s/t/m/a),,,,WILLIAM D,dorcas 13,Rise Blue,,CC017,,吉林长春卫星CCWX-RSK2093-2,
吉林长春中海CCZH-RSS1002-1,16:45-17:15,18：45-19：15,S1002-1,吉林长春中海CCZH-RS,S1_17_What Do Plants Need,,,,LIAM,dorcas 14,Rise Blue,,CC009,,吉林长春中海CCZH-RSS1002-1,
吉林长春中海CCZH-RSK2020-1,16:45-17:15,18：45-19：15,K2020-1,吉林长春中海CCZH-RS,K2_13_Phonics Review（u/c/p）,,,,PARISA,dorcas 6,Rise Blue,,CC010,,吉林长春中海CCZH-RSK2020-1,
吉林长春中海CCZH-RSK3011-1,16:45-17:15,18：45-19：15,K3011-1,吉林长春中海CCZH-RS,K3_25_How to Read Calendar ,,,,WILLIAM D,dorcas 13,Rise Blue,,CC013   校区通知取消,,吉林长春中海CCZH-RSK3011-1,
吉林长春中海CCZH-RSK1028-1,17:30-18:00,19：30-20：00,K1028-1,吉林长春中海CCZH-RS,K1_10_Feelings and Emotions,,,,LIAM,dorcas 14,Rise Blue,,CC014,,吉林长春中海CCZH-RSK1028-1,
吉林长春中海CCZH-RS K3008-1,17:30-18:00,19：30-20：00,K3008-1,吉林长春中海CCZH-RS ,K3_20_Problem Solving: A party at Dog’s House,,,,PARISA,dorcas 6,Rise Blue,,CC012,,吉林长春中海CCZH-RS K3008-1,
吉林长春中海CCZH-RS K3010-1,17:30-18:00,19：30-20：00,K3010-1,吉林长春中海CCZH-RS ,K3_09_Phonics Review（b/d/i/l）,,,,WILLIAM D,dorcas 13,Rise Blue,,CC012,,吉林长春中海CCZH-RS K3010-1,
吉林长春中海CCZH-RSK1028-2,18:15-18:45,20：15-20：45,K1028-2,吉林长春中海CCZH-RS,K1_10_Feelings and Emotions,,,,JORDAN K,dorcas 17,Rise Blue,,CC014,,吉林长春中海CCZH-RSK1028-2,
吉林长春中海CCZH-RSK002,18:15-18:45,20：15-20：45,K002,吉林长春中海CCZH-RS,K2_21_Skip Counting by Tens and Fives,,,,PETER K,dorcas 5,Rise Blue,,K002,,吉林长春中海CCZH-RSK002,
吉林长春中海CCZH-RSK2020-2,18:15-18:45,20：15-20：45,K2020-2,吉林长春中海CCZH-RS,K2_13_Phonics Review（u/c/p）,,,,PARISA,dorcas 6,Rise Blue,,CC010,,吉林长春中海CCZH-RSK2020-2,
